line_code,field_name,display_name,value
H-1c(5)(a),partnership_jv_boy,Partnership/JV Interests (BOY),
H-1c(5)(b),partnership_jv_eoy,Partnership/JV Interests (EOY),
H-1c(6)(a),real_estate_boy,Real Estate (non-employer) (BOY),
H-1c(6)(b),real_estate_eoy,Real Estate (non-employer) (EOY),
H-1c(7)(a),loans_participants_boy,Loans to Participants (BOY),
H-1c(7)(b),loans_participants_eoy,Loans to Participants (EOY),
H-1c(8)(a),buildings_boy,Buildings/Depreciable Property (BOY),
H-1c(8)(b),buildings_eoy,Buildings/Depreciable Property (EOY),
H-1c(9)(a),other_assets_boy,Other Assets (BOY),
H-1c(9)(b),other_assets_eoy,Other Assets (EOY),
H-1d(a),total_assets_boy,Total Assets (BOY),
H-1d(b),total_assets_eoy,Total Assets (EOY),
H-2a(a),benefit_claims_payable_boy,Benefit Claims Payable (BOY),
H-2a(b),benefit_claims_payable_eoy,Benefit Claims Payable (EOY),
H-2b(a),operating_payables_boy,Operating Payables (BOY),
H-2b(b),operating_payables_eoy,Operating Payables (EOY),
H-2c(a),acquisition_debt_boy,Acquisition Indebtedness (BOY),
H-2c(b),acquisition_debt_eoy,Acquisition Indebtedness (EOY),
H-2d(a),other_liabilities_boy,Other Liabilities (BOY),
H-2d(b),other_liabilities_eoy,Other Liabilities (EOY),
H-2e(a),total_liabilities_boy,Total Liabilities (BOY),
H-2e(b),total_liabilities_eoy,Total Liabilities (EOY),
H-3(a),net_assets_boy,Net Assets (BOY),
H-3(b),net_assets_eoy,Net Assets (EOY),
H-4a,employer_contributions,Employer Contributions,"$272,609"
H-4b,participant_contributions,Participant Contributions,$13
H-4c,other_contributions,Other Contributions,
H-4d,total_contributions,Total Contributions,
H-4e,noncash_contributions,Noncash Contributions (included in 4d),
H-4f,interest_income,Interest Income,
H-4g,dividends,Dividends,
H-4h,rents,Rents,
H-4i,net_gain_sale,Net Gain/(Loss) on Sale of Assets,
H-4j,unrealized_appreciation,Unrealized Appreciation/(Depreciation),
H-4k,other_income,Other Income,
H-4l,total_income,Total Income,
H-5a,benefits_paid_directly,Benefits Paid Directly to Participants,
H-5b,benefits_paid_contract,Benefits Paid via Insurance Carrier,
H-5c,deemed_distributions,Deemed Distributions of Participant Loans,
H-5d,total_distributions,Total Benefit Distributions,
H-5e,corrective_distributions,Corrective Distributions,
H-5f,admin_expenses,Administrative Expenses,
H-5g,total_expenses,Total Expenses,
H-6,net_income,Net Income/(Loss),
H-7a,transfers_in,Transfers In,
H-7b,transfers_out,Transfers Out,
10a,failed_contribution_transmittal,Failed to Transmit Participant Contributions,No
10a,failed_contribution_amount,Failed Contribution Amount,
10b,nonexempt_transactions,Nonexempt Party-in-Interest Transactions,
10b,nonexempt_transaction_amount,Nonexempt Transaction Amount,
10c,fidelity_bond_coverage,Covered by Fidelity Bond,Yes
10c,fidelity_bond_amount,Fidelity Bond Amount,$4
10d,loss_from_fraud,Loss from Fraud/Dishonesty,No
10d,loss_amount,Fraud Loss Amount,
10e,broker_fees,Broker Fees Paid,
10f,failed_minimum_funding,Failed to Meet Minimum Funding,
10g,participant_loans,Participant Loans,No
10g,loan_amount,Total Participant Loan Amount,
10g,loans_in_default,Loans in Default,
10h,leased_employees,Leased Employees Participating,
10i,plan_terminated,Plan Terminated During Year,
10j,resolution_date,Plan Termination Resolution Date,
-,admin_signature_date,Administrator Signature Date,
-,admin_signer_name,Administrator Signer Name,
-,sponsor_signature_date,Sponsor Signature Date,
-,sponsor_signer_name,Sponsor Signer Name,
